expert_id,full_name,display_name,name_variants,pubmed_author_query,orcid,designation,institution,department,research_areas,domains,profile_url,source,date_added,last_verified,active,notes
jessica-ho-sook-yuin,Jessica Ho Sook Yuin,Assistant Professor Jessica Ho Sook Yuin,Jessica HSY|Yuin JHS|Jessica H|Yuin J,,,Assistant Professor,Duke-NUS Medical School,,Splicing/Transcription|RNA Processing|Epigenetics,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
jessica-quah-lishan,Jessica Quah Lishan,Clinical Assistant Professor Jessica Quah Lishan,Jessica QL|Lishan JQ|Jessica Q|Lishan J,,,Clinical Assistant Professor,Changi General Hospital,,Clinical Infectious Diseases|Respiratory Tract Infections,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
john-yu-shen-chen,John Yu-Shen Chen,Associate Professor John Yu-Shen Chen,John YC|Chen JY|John Y|Chen J,,,Associate Professor,National University of Singapore,,Phage|Pathogenicity Islands|Bacteriology|Phage Therapy|Antimicrobial Resistance,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
jolene-oon-ee-ling,Jolene Oon Ee Ling,Adjunct Associate Professor Jolene Oon Ee Ling,Jolene OEL|Ling JOE|Jolene O|Ling J,,,Adjunct Associate Professor,National University Hospital,,Clinical Infectious Diseases,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
julien-lescar,Julien Lescar,Professor Julien Lescar,Julien L|Lescar J,,,Professor,Nanyang Technological University,,Structural Virology|Vector Borne RNA Viruses,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
justin-chu-jang-hann,Justin Chu Jang Hann,Associate Professor Justin Chu Jang Hann,Justin CJH|Hann JCJ|Justin C|Hann J,,,Associate Professor,National University of Singapore,,Therapeutics and Vaccinology|Vector Borne RNA Viruses|Dengue|Diagnostics and Therapeutics|Pathogenesis,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
kalisvar-marimuthu,Kalisvar Marimuthu,Adjunct Assistant Professor Kalisvar Marimuthu,Kalisvar M|Marimuthu K,,,Adjunct Assistant Professor,Tan Tock Seng Hospital,,Antimicrobial Resistance|Infection Prevention and Control|HAI Surveillance,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
kam-kai-qian,Kam Kai Qian,Dr Kam Kai Qian,Kam KQ|Qian KK|Kam K|Qian K,,,Dr,KK Women's and Children's Hospital,,Paediatric Infectious Diseases|Antimicrobial Stewardship,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
karen-donceras-nadua,Karen Donceras Nadua,Dr Karen Donceras Nadua,Karen DN|Nadua KD|Karen D|Nadua K,,,Dr,KK Women's and Children's Hospital,,Paediatric Infectious Diseases|Virology,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
karrie-ko-kwan-ki,Karrie Ko Kwan Ki,Dr Karrie Ko Kwan Ki,Karrie KKK|Ki KKK|Karrie K|Ki K,,,Dr,Singapore General Hospital,,Antimicrobial Resistance|Epidemiology,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
keisuke-ejima,Keisuke Ejima,Assistant Professor Keisuke Ejima,Keisuke E|Ejima K,,,Assistant Professor,Nanyang Technological University,,Mathematical/Statistical Model|Within-host Dynamics|Public Health Guideline Development|Randomised Control Trial Design,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
kevin-pethe,Kevin Pethe,Associate Professor Kevin Pethe,Kevin P|Pethe K,,,Associate Professor,Nanyang Technological University,,Antimicrobial Resistance|Tuberculosis|Respiratory Tract Infections,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
kevin-sw-tan,Kevin SW Tan,Associate Professor Kevin SW Tan,Kevin ST|Tan KS|Kevin S|Tan K,,,Associate Professor,National University of Singapore,,Malaria|Parasitology|Microbiomes,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
kiesha-prem,Kiesha Prem,Assistant Professor Kiesha Prem,Kiesha P|Prem K,,,Assistant Professor,National University of Singapore,,Infectious Disease Modelling|Health Economics for Infectious Diseases|Health Financing for Primary Healthcare,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
kimberly-fornace,Kimberly Fornace,Associate Professor Kimberly Fornace,Kimberly F|Fornace K,,,Associate Professor,National University of Singapore,,Spatial Epidemiology of Infectious Diseases|Remote Sensing|Environmental Health,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
kitti-wing-ki-chan,Kitti Wing Ki Chan,Principal Research Scientist Kitti Wing Ki Chan,Kitti WKC|Chan KWK|Kitti W|Chan K,,,Principal Research Scientist,Duke-NUS Medical School,,Clinical Infectious Diseases,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
koh-tse-hsien,Koh Tse Hsien,Professor Koh Tse Hsien,Koh TH|Hsien KT|Koh T|Hsien K,,,Professor,Singapore General Hospital,,Antimicrobial Resistance|Bacteriology|Epidemiology,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
konstadina-griva,Konstadina Griva,Associate Professor Konstadina Griva,Konstadina G|Griva K,,,Associate Professor,Nanyang Technological University,,Behavioural Science|Population and Global Health,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
lamers-mart-matthias,Lamers Mart Matthias,Assistant Professor Lamers Mart Matthias,Lamers MM|Matthias LM|Lamers M|Matthias L,,,Assistant Professor,Duke-NUS Medical School,,Coronavirus Pathogenesis and Evolution|Pandemic Preparedness|Molecular Virology|Immunology|Organoids|Cell biology,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
laurent-renia,Laurent Renia,Professor Laurent Renia,Laurent R|Renia L,,,Professor,Nanyang Technological University,,Immunology|Microbiology|Virology|Mosquito-Borne Diseases|Malaria|Vaccination,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
leo-yee-sin,Leo Yee Sin,Professor Leo Yee Sin,Leo YS|Sin LY|Leo Y|Sin L,,,Professor,Tan Tock Seng Hospital,,Arboviruses|Dengue|Emerging Infectious Diseases|HIV,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
li-jiahui,Li Jiahui,Dr Li Jiahui,Li J|Jiahui L,,,Dr,KK Women's and Children's Hospital,,Paediatric Infectious Diseases,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
lim-jue-tao,Lim Jue Tao,Assistant Professor Lim Jue Tao,Lim JT|Tao LJ|Lim J|Tao L,,,Assistant Professor,Nanyang Technological University,,Infectious Diseases|Epidemiology|Biostatistics,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
lim-poh-lian,Lim Poh Lian,Associate Professor Lim Poh Lian,Lim PL|Lian LP|Lim P|Lian L,,,Associate Professor,Communicable Diseases Agency,,Emerging Infections|Biorisk Management (Biosecurity|dual use research|emerging technologies)|Vaccines|Outbreak Preparedness and Response|Travel and Tropical Medicine|HIV Medicine,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
lim-tze-peng,Lim Tze Peng,Assistant Professor Lim Tze Peng,Lim TP|Peng LT|Lim T|Peng L,,,Assistant Professor,Singapore General Hospital,,Antimicrobial Resistance,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
limin-wijaya,Limin Wijaya,Associate Professor Limin Wijaya,Limin W|Wijaya L,,,Associate Professor,Singapore General Hospital,,Infections in Immunocompromised Hosts|Emerging Infectious Diseases|Vaccinology,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
ling-moi-lin,Ling Moi Lin,Dr Ling Moi Lin,Ling ML|Lin LM|Ling M|Lin L,,,Dr,Singapore General Hospital,,Antimicrobial Resistance|Epidemiology|Infection Prevention and Control,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
lisa-ng,Lisa Ng,Professor Lisa Ng,Lisa N|Ng L,,,Professor,"Agency for Science, Technology and Research",,Immunology|Virology|Immunity|Infectious Diseases,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
louisa-sun-jin,Louisa Sun Jin,Adjunct Assistant Professor Louisa Sun Jin,Louisa SJ|Jin LS|Louisa S|Jin L,,,Adjunct Assistant Professor,Alexandra Hospital,,Clinical Infectious Diseases|Infection Prevention and Control|Infectious Disease Emergencies,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
low-jun-siong,Low Jun Siong,Assistant Professor Low Jun Siong,Low JS|Siong LJ|Low J|Siong L,,,Assistant Professor,National University of Singapore,,T Cell Repertoire Analysis|Fundamental T Cell Biology|Monoclonal Antibody Discovery,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
lum-fok-moon,Lum Fok Moon,Dr Lum Fok Moon,Lum FM|Moon LF|Lum F|Moon L,,,Dr,"Agency for Science, Technology and Research",,Infectious Diseases|Neuroimmunology|Neurology|Virology,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
luo-dahai,Luo Dahai,Associate Professor Luo Dahai,Luo D|Dahai L,,,Associate Professor,Nanyang Technological University,,Structural Virology|Vector Borne RNA viruses|Antiviral Development,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
lynette-oon-lin-ean,Lynette Oon Lin Ean,Associate Professor Lynette Oon Lin Ean,Lynette OLE|Ean LOL|Lynette O|Ean L,,,Associate Professor,Singapore General Hospital,,Molecular Detection and Diagnosis,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
marco-vignuzzi,Marco Vignuzzi,Adjunct Associate Professor Marco Vignuzzi,Marco V|Vignuzzi M,,,Adjunct Associate Professor,"Agency for Science, Technology and Research",,RNA Vaccines|Experimental Virus Evolution|Antiviral Therapies|Live Attenuated Vaccines|Host-Virus Interactions|Vector Control Strategies,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
martin-chio-tze-wei,Martin Chio Tze-Wei,Adjunct Associate Professor Martin Chio Tze-Wei,Martin CT|Tze-Wei MC|Martin C|Tze-Wei M,,,Adjunct Associate Professor,National Skin Centre,,Sexually Transmitted Infections|Qualitative Research|MSM,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
martin-linster,Martin Linster,Assistant Professor Martin Linster,Martin L|Linster M,,,Assistant Professor,Duke-NUS Medical School,,Molecular Virology,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
matthew-tay,Matthew Tay,Dr Matthew Tay,Matthew T|Tay M,,,Dr,"Agency for Science, Technology and Research",,Antibody Discovery|Coronavirus|Pandemic Preparedness,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
matthias-maiwald,Matthias Maiwald,Clinical Associate Professor Matthias Maiwald,Matthias M|Maiwald M,,,Clinical Associate Professor,KK Women's and Children's Hospital,,Clinical Microbiology,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
matthias-paul-toh,Matthias Paul Toh,Associate Professor Matthias Paul Toh,Matthias PT|Toh MP|Matthias P|Toh M,,,Associate Professor,Tan Tock Seng Hospital,,Epidemiology|Health Informatics,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
may-oo-lwin,May Oo Lwin,Professor May Oo Lwin,May OL|Lwin MO|May O|Lwin M,,,Professor,Nanyang Technological University,,Health Communication|One Health|Digital Communication|Misinformation,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
mo-yin,Mo Yin,Dr Mo Yin,Mo Y|Yin M,,,Dr,National University Hospital,,Antimicrobial Resistance|Epidemiology,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
monica-chan,Monica Chan,Adjunct Assistant Professor Monica Chan,Monica C|Chan M,,,Adjunct Assistant Professor,Tan Tock Seng Hospital,,Outpatient Parenteral Antibiotic Therapy,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
mookkan-prabakaran,Mookkan Prabakaran,Dr Mookkan Prabakaran,Mookkan P|Prabakaran M,,,Dr,Temasek Life Sciences Laboratory,,Host-Virus Interactions|Vaccinology|Antiviral Therapies,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
natalie-tan-woon-hui,Natalie Tan Woon Hui,Clinical Associate Professor Natalie Tan Woon Hui,Natalie TWH|Hui NTW|Natalie T|Hui N,,,Clinical Associate Professor,KK Women's and Children's Hospital,,Paediatric Infectious Diseases,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
natasha-howard,Natasha Howard,Associate Professor Natasha Howard,Natasha H|Howard N,,,Associate Professor,National University of Singapore,,Population and Global Health|Infection Prevention and Control,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
ng-lee-ching,Ng Lee Ching,Associate Professor Ng Lee Ching,Ng LC|Ching NL|Ng L|Ching N,,,Associate Professor,National Environment Agency,,Environmental Public Health|Vector Borne Diseases|Risk Assessment and Surveillance|Wastewater Surveillance,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
ng-oon-tek,Ng Oon Tek,Associate Professor Ng Oon Tek,Ng OT|Tek NO|Ng O|Tek N,,,Associate Professor,Tan Tock Seng Hospital,,Antimicrobial Resistance|Genomics and Metagenomics|Emerging Infectious Diseases,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
ng-tong-yong,Ng Tong Yong,Clinical Assistant Professor Ng Tong Yong,Ng TY|Yong NT|Ng T|Yong N,,,Clinical Assistant Professor,Sengkang General Hospital,,Antimicrobial Resistance,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
nicholas-iain-james-paton,Nicholas Iain James Paton,Professor Nicholas Iain James Paton,Nicholas IJP|Paton NIJ|Nicholas I|Paton N,,,Professor,National University of Singapore,,HIV|Tuberculosis,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
nina-le-bert,Nina Le Bert,Assistant Professor Nina Le Bert,Nina LB|Bert NL|Nina L|Bert N,,,Assistant Professor,Duke-NUS Medical School,,Immunology|Viral Hepatitis|COVID-19|Infectious Diseases,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
niranjan-nagarajan,Niranjan Nagarajan,Associate Professor Niranjan Nagarajan,Niranjan N|Nagarajan N,,,Associate Professor,"Agency for Science, Technology and Research",,Computational Biology|Genomics,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
ong-twee-hee-rick,Ong Twee Hee Rick,Assistant Professor Ong Twee Hee Rick,Ong THR|Rick OTH|Ong T|Rick O,,,Assistant Professor,National University of Singapore,,Bioinformatics|Epidemiology|Genomics,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
ooi-eng-eong,Ooi Eng Eong,Professor Ooi Eng Eong,Ooi EE|Eong OE|Ooi E|Eong O,,,Professor,Duke-NUS Medical School,,Dengue|Immunology|Vector Borne RNA Viruses|Virology,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
ooi-say-tat,Ooi Say Tat,Dr Ooi Say Tat,Ooi ST|Tat OS|Ooi S|Tat O,,,Dr,Khoo Teck Puat Hospital,,Clinical Infectious Diseases|Epidemiology,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
ooi-yaw-shin,Ooi Yaw Shin,Assistant Professor Ooi Yaw Shin,Ooi YS|Shin OY|Ooi Y|Shin O,,,Assistant Professor,Duke-NUS Medical School,,Host-Virus Interactions|Respiratory Viruses|Arboviruses,,,cda_directory_csv,2026-09-08,2026-09-08,yes,
