uid,institution,institution_short,sector,country,iso3,region,n_authors_here,year,primary_domain,is_singapore
doi:10.1017/ice.2026.10526,National Cancer Centre Singapore,NCCS,hospital,Singapore,SGP,Southeast Asia,1,2026,rti,1
doi:10.1017/ice.2026.10526,Singapore General Hospital,SGH,hospital,Singapore,SGP,Southeast Asia,4,2026,rti,1
doi:10.1017/ice.2026.10526,SingHealth,SingHealth,hospital,Singapore,SGP,Southeast Asia,1,2026,rti,1
doi:10.1093/epirev/mxag011,London School of Hygiene & Tropical Medicine,LSHTM,university,United Kingdom,GBR,Europe,1,2026,other_id,0
doi:10.1093/epirev/mxag011,National University of Singapore,NUS,university,Singapore,SGP,Southeast Asia,1,2026,other_id,1
doi:10.1080/21645515.2026.2661118,National University Hospital,NUH,hospital,Republic of Korea,KOR,East Asia,1,2026,rti,0
doi:10.1080/21645515.2026.2661118,University of Hong Kong,HKU,university,Hong Kong SAR,HKG,East Asia,1,2026,rti,0
doi:10.1088/1361-6528/ae8602,National University of Singapore,NUS,university,Singapore,SGP,Southeast Asia,1,2026,amr_hai,1
doi:10.1186/s12889-026-26538-7,National University of Singapore,NUS,university,Singapore,SGP,Southeast Asia,1,2026,sti,1
doi:10.1016/s0140-6736(26)00410-1,National University of Singapore,NUS,university,Singapore,SGP,Southeast Asia,1,2026,sti,1
doi:10.1016/s0140-6736(26)00410-1,Harvard University,Harvard,university,United States,USA,North America,1,2026,sti,0
doi:10.1021/acsinfecdis.6c00114,National University of Singapore,NUS,university,Singapore,SGP,Southeast Asia,3,2026,vector_borne,1
doi:10.3390/pathogens15030278,National University of Singapore,NUS,university,Singapore,SGP,Southeast Asia,3,2026,amr_hai,1
doi:10.3390/pathogens15030278,National University Hospital,NUH,hospital,Singapore,SGP,Southeast Asia,1,2026,amr_hai,1
doi:10.2196/87909,National University of Singapore,NUS,university,Singapore,SGP,Southeast Asia,4,2026,rti,1
doi:10.1080/09540121.2026.2632324,National University of Singapore,NUS,university,Singapore,SGP,Southeast Asia,5,2026,sti,1
doi:10.1016/s1473-3099(26)00357-9,National University of Singapore,NUS,university,Singapore,SGP,Southeast Asia,10,2026,amr_hai,1
doi:10.1016/s1473-3099(26)00357-9,Mahidol University,Mahidol,university,Thailand,THA,Southeast Asia,2,2026,amr_hai,0
doi:10.1016/s1473-3099(26)00357-9,University of Oxford,Oxford,university,United Kingdom,GBR,Europe,3,2026,amr_hai,0
doi:10.1016/s1473-3099(26)00357-9,National University Hospital,NUH,hospital,Singapore,SGP,Southeast Asia,1,2026,amr_hai,1
doi:10.1016/s1473-3099(26)00357-9,Singapore General Hospital,SGH,hospital,Singapore,SGP,Southeast Asia,1,2026,amr_hai,1
doi:10.1016/s1473-3099(26)00357-9,Oxford University Clinical Research Unit,OUCRU,research_institute,Indonesia,IDN,Southeast Asia,3,2026,amr_hai,0
doi:10.1016/s1473-3099(26)00357-9,Universitas Indonesia,UI,university,Indonesia,IDN,Southeast Asia,1,2026,amr_hai,0
doi:10.1016/s1473-3099(26)00357-9,University of Hong Kong,HKU,university,China,CHN,East Asia,1,2026,amr_hai,0
doi:10.1073/pnas.2532225123,University of Cambridge,Cambridge,university,United Kingdom,GBR,Europe,1,2026,other_id,0
doi:10.1073/pnas.2532225123,National University of Singapore,NUS,university,Singapore,SGP,Southeast Asia,1,2026,other_id,1
doi:10.1016/j.bcp.2026.118104,National University of Singapore,NUS,university,Singapore,SGP,Southeast Asia,1,2026,tb,1
doi:10.1038/s44360-026-00080-7,London School of Hygiene & Tropical Medicine,LSHTM,university,United Kingdom,GBR,Europe,5,2026,sti,0
doi:10.1038/s44360-026-00080-7,National University of Singapore,NUS,university,Singapore,SGP,Southeast Asia,7,2026,sti,1
doi:10.1038/s44360-026-00080-7,Nanyang Technological University,NTU,university,Singapore,SGP,Southeast Asia,1,2026,sti,1
doi:10.1038/s44360-026-00080-7,National Centre for Infectious Diseases,NCID,hospital,Singapore,SGP,Southeast Asia,1,2026,sti,1
doi:10.1111/camh.70112,Communicable Diseases Agency,CDA,government,Singapore,SGP,Southeast Asia,3,2026,rti,1
doi:10.1111/camh.70112,National University of Singapore,NUS,university,Singapore,SGP,Southeast Asia,7,2026,rti,1
doi:10.1111/camh.70112,Singapore General Hospital,SGH,hospital,Singapore,SGP,Southeast Asia,1,2026,rti,1
doi:10.1111/camh.70112,National Centre for Infectious Diseases,NCID,hospital,Singapore,SGP,Southeast Asia,4,2026,rti,1
doi:10.1111/camh.70112,Nanyang Technological University,NTU,university,Singapore,SGP,Southeast Asia,6,2026,rti,1
doi:10.1111/camh.70112,Institute of Mental Health,IMH,hospital,Singapore,SGP,Southeast Asia,3,2026,rti,1
doi:10.1111/camh.70112,Tan Tock Seng Hospital,TTSH,hospital,Singapore,SGP,Southeast Asia,1,2026,rti,1
doi:10.1016/j.jhin.2026.03.009,Tan Tock Seng Hospital,TTSH,hospital,Singapore,SGP,Southeast Asia,8,2026,amr_hai,1
doi:10.1016/j.jhin.2026.03.009,National University Health System,NUHS,hospital,Singapore,SGP,Southeast Asia,6,2026,amr_hai,1
doi:10.1016/j.isci.2026.116736,Institute of Molecular and Cell Biology,IMCB,research_institute,Singapore,SGP,Southeast Asia,7,2026,rti,1
doi:10.1016/j.isci.2026.116736,National University of Singapore,NUS,university,Singapore,SGP,Southeast Asia,2,2026,rti,1
doi:10.1093/ofid/ofag317,Duke-NUS Medical School,Duke-NUS,university,Singapore,SGP,Southeast Asia,6,2026,rti,1
doi:10.1093/ofid/ofag317,National University of Singapore,NUS,university,Singapore,SGP,Southeast Asia,1,2026,rti,1
doi:10.1093/ofid/ofag317,SingHealth,SingHealth,hospital,Singapore,SGP,Southeast Asia,1,2026,rti,1
doi:10.1128/aac.00388-25,National University of Singapore,NUS,university,Singapore,SGP,Southeast Asia,1,2026,amr_hai,1
doi:10.3389/fmicb.2026.1866307,National University of Singapore,NUS,university,Singapore,SGP,Southeast Asia,1,2026,vector_borne,1
doi:10.1136/bcr-2025-271896,Singapore General Hospital,SGH,hospital,Singapore,SGP,Southeast Asia,4,2026,vector_borne,1
doi:10.1038/s41467-026-75746-7,National University of Singapore,NUS,university,Singapore,SGP,Southeast Asia,1,2026,other_id,1
doi:10.1038/s41467-026-74190-x,University of Cambridge,Cambridge,university,United Kingdom,GBR,Europe,10,2026,rti,0
doi:10.1038/s41467-026-74190-x,Bioinformatics Institute,BII,research_institute,United Kingdom,GBR,Europe,1,2026,rti,0
doi:10.1038/s41467-026-74190-x,UK Health Security Agency,UKHSA,government,United Kingdom,GBR,Europe,3,2026,rti,0
doi:10.1038/s41467-026-74190-x,A*STAR Infectious Diseases Labs,ID Labs,research_institute,Singapore,SGP,Southeast Asia,1,2026,rti,1
doi:10.1016/j.ijid.2026.108533,Communicable Diseases Agency,CDA,government,Singapore,SGP,Southeast Asia,5,2026,tb,1
doi:10.1016/j.ijid.2026.108533,Environmental Health Institute,EHI,government,Singapore,SGP,Southeast Asia,4,2026,tb,1
doi:10.1016/j.ijid.2026.108533,Nanyang Technological University,NTU,university,Singapore,SGP,Southeast Asia,1,2026,tb,1
doi:10.1016/j.ijid.2026.108533,National University of Singapore,NUS,university,Singapore,SGP,Southeast Asia,1,2026,tb,1
doi:10.1183/13993003.00989-2026,National University of Singapore,NUS,university,Singapore,SGP,Southeast Asia,2,2026,tb,1
doi:10.1038/s41371-026-01194-x,National University of Singapore,NUS,university,Singapore,SGP,Southeast Asia,1,2026,rti,1
doi:10.3390/antibiotics15050423,Tan Tock Seng Hospital,TTSH,hospital,Singapore,SGP,Southeast Asia,1,2026,amr_hai,1
doi:10.1016/j.watres.2026.126336,National University of Singapore,NUS,university,Singapore,SGP,Southeast Asia,4,2026,amr_hai,1
doi:10.1186/s12889-026-27217-3,National University of Singapore,NUS,university,Singapore,SGP,Southeast Asia,1,2026,sti,1
doi:10.1177/00494755261479116,National University Hospital,NUH,hospital,Singapore,SGP,Southeast Asia,3,2026,vector_borne,1
doi:10.3389/fimmu.2026.1841974,National University of Singapore,NUS,university,Singapore,SGP,Southeast Asia,1,2026,rti,1
doi:10.4269/ajtmh.26-0159,National University of Singapore,NUS,university,Singapore,SGP,Southeast Asia,1,2026,vector_borne,1
doi:10.4269/ajtmh.26-0159,National Skin Centre,NSC,hospital,Singapore,SGP,Southeast Asia,2,2026,vector_borne,1
doi:10.4269/ajtmh.26-0159,National Centre for Infectious Diseases,NCID,hospital,Singapore,SGP,Southeast Asia,1,2026,vector_borne,1
doi:10.1002/resp.70302,Duke-NUS Medical School,Duke-NUS,university,Singapore,SGP,Southeast Asia,1,2026,rti,1
doi:10.1002/resp.70302,Singapore General Hospital,SGH,hospital,Singapore,SGP,Southeast Asia,3,2026,rti,1
doi:10.1002/resp.70302,National University of Singapore,NUS,university,Singapore,SGP,Southeast Asia,1,2026,rti,1
doi:10.5527/wjn.v15.i2.118214,National University of Singapore,NUS,university,Singapore,SGP,Southeast Asia,2,2026,rti,1
doi:10.5527/wjn.v15.i2.118214,National University Hospital,NUH,hospital,Singapore,SGP,Southeast Asia,1,2026,rti,1
doi:10.1016/j.drugpo.2026.105306,National University of Singapore,NUS,university,Singapore,SGP,Southeast Asia,1,2026,sti,1
doi:10.1007/s10461-026-05097-3,Tan Tock Seng Hospital,TTSH,hospital,Singapore,SGP,Southeast Asia,5,2026,sti,1
doi:10.1007/s10461-026-05097-3,National Centre for Infectious Diseases,NCID,hospital,Singapore,SGP,Southeast Asia,10,2026,sti,1
doi:10.1007/s10461-026-05097-3,National University of Singapore,NUS,university,Singapore,SGP,Southeast Asia,3,2026,sti,1
doi:10.1007/s10461-026-05097-3,National University Hospital,NUH,hospital,Singapore,SGP,Southeast Asia,3,2026,sti,1
doi:10.1007/s10461-026-05097-3,Singapore General Hospital,SGH,hospital,Singapore,SGP,Southeast Asia,3,2026,sti,1
doi:10.1007/s10461-026-05097-3,Changi General Hospital,CGH,hospital,Singapore,SGP,Southeast Asia,2,2026,sti,1
doi:10.1183/13993003.00858-2026,National University of Singapore,NUS,university,Singapore,SGP,Southeast Asia,3,2026,tb,1
doi:10.1183/13993003.00858-2026,London School of Hygiene & Tropical Medicine,LSHTM,university,Ireland,IRL,Europe,1,2026,tb,0
doi:10.1136/bmjph-2025-004042,National University of Singapore,NUS,university,Singapore,SGP,Southeast Asia,9,2026,sti,1
doi:10.1136/bmjph-2025-004042,London School of Hygiene & Tropical Medicine,LSHTM,university,United Kingdom,GBR,Europe,1,2026,sti,0
doi:10.25259/ijpc_285_2025,World Health Organization,WHO,government,India,IND,South Asia,1,2026,rti,0
doi:10.1016/j.vaccine.2026.128983,National University of Singapore,NUS,university,Singapore,SGP,Southeast Asia,10,2026,rti,1
doi:10.1016/j.vaccine.2026.128983,Duke-NUS Medical School,Duke-NUS,university,Singapore,SGP,Southeast Asia,4,2026,rti,1
doi:10.1016/j.vaccine.2026.128983,National University Hospital,NUH,hospital,Singapore,SGP,Southeast Asia,3,2026,rti,1
doi:10.1016/j.eclinm.2026.103871,World Health Organization,WHO,government,Switzerland,CHE,Europe,12,2026,vector_borne,0
doi:10.1016/j.eclinm.2026.103871,University of Cambridge,Cambridge,university,United Kingdom,GBR,Europe,3,2026,vector_borne,0
doi:10.1016/j.eclinm.2026.103871,UK Health Security Agency,UKHSA,government,United Kingdom,GBR,Europe,1,2026,vector_borne,0
doi:10.1016/j.eclinm.2026.103871,Imperial College London,Imperial,university,United Kingdom,GBR,Europe,1,2026,vector_borne,0
doi:10.1016/j.eclinm.2026.103871,National Centre for Infectious Diseases,NCID,hospital,Singapore,SGP,Southeast Asia,1,2026,vector_borne,1
doi:10.1016/j.eclinm.2026.103871,Nanyang Technological University,NTU,university,Singapore,SGP,Southeast Asia,1,2026,vector_borne,1
doi:10.1016/j.eclinm.2026.103871,National Institutes of Health,NIH,government,United States,USA,North America,1,2026,vector_borne,0
doi:10.1016/j.eclinm.2026.103871,University of Hong Kong,HKU,university,China,CHN,East Asia,1,2026,vector_borne,0
doi:10.1097/qai.0000000000003874,Harvard University,Harvard,university,United States,USA,North America,1,2026,sti,0
doi:10.1097/qai.0000000000003874,Duke-NUS Medical School,Duke-NUS,university,Singapore,SGP,Southeast Asia,1,2026,sti,1
doi:10.1016/j.jconrel.2026.115136,"Agency for Science, Technology and Research",A*STAR,research_institute,Singapore,SGP,Southeast Asia,9,2026,rti,1
doi:10.1016/j.jconrel.2026.115136,National University of Singapore,NUS,university,Singapore,SGP,Southeast Asia,3,2026,rti,1
doi:10.1128/jvi.00540-26,Duke-NUS Medical School,Duke-NUS,university,Singapore,SGP,Southeast Asia,1,2026,rti,1
doi:10.1016/j.jinf.2026.106765,National Centre for Infectious Diseases,NCID,hospital,Singapore,SGP,Southeast Asia,1,2026,amr_hai,1
doi:10.1016/j.jinf.2026.106765,Tan Tock Seng Hospital,TTSH,hospital,Singapore,SGP,Southeast Asia,1,2026,amr_hai,1
doi:10.1016/j.jinf.2026.106765,National University of Singapore,NUS,university,Singapore,SGP,Southeast Asia,1,2026,amr_hai,1
doi:10.3389/fpubh.2026.1838184,World Health Organization,WHO,government,Switzerland,CHE,Europe,6,2026,rti,0
doi:10.1016/j.pedneo.2026.04.010,KK Women's and Children's Hospital,KKH,hospital,Singapore,SGP,Southeast Asia,3,2026,rti,1
doi:10.1016/j.pedneo.2026.04.010,Duke-NUS Medical School,Duke-NUS,university,Singapore,SGP,Southeast Asia,5,2026,rti,1
doi:10.1016/j.pedneo.2026.04.010,National University Hospital,NUH,hospital,Singapore,SGP,Southeast Asia,1,2026,rti,1
doi:10.1016/j.pedneo.2026.04.010,National University of Singapore,NUS,university,Singapore,SGP,Southeast Asia,1,2026,rti,1
doi:10.1016/j.pedneo.2026.04.010,Singapore General Hospital,SGH,hospital,Singapore,SGP,Southeast Asia,1,2026,rti,1
doi:10.1371/journal.pntd.0014318,Mahidol University,Mahidol,university,Thailand,THA,Southeast Asia,9,2026,vector_borne,0
doi:10.1371/journal.pntd.0014318,University of Oxford,Oxford,university,United Kingdom,GBR,Europe,10,2026,vector_borne,0
doi:10.1371/journal.pntd.0014318,National University of Singapore,NUS,university,Singapore,SGP,Southeast Asia,1,2026,vector_borne,1
doi:10.12968/jowc.2023.0112,KK Women's and Children's Hospital,KKH,hospital,Singapore,SGP,Southeast Asia,5,2026,amr_hai,1
doi:10.1038/s41467-026-74032-w,Duke-NUS Medical School,Duke-NUS,university,Singapore,SGP,Southeast Asia,2,2026,tb,1
doi:10.1021/acsinfecdis.6c00309,Nanyang Technological University,NTU,university,Singapore,SGP,Southeast Asia,4,2026,amr_hai,1
doi:10.1021/acsinfecdis.6c00309,University of Oxford,Oxford,university,United Kingdom,GBR,Europe,1,2026,amr_hai,0
doi:10.1038/s41541-026-01519-4,National University of Singapore,NUS,university,Singapore,SGP,Southeast Asia,2,2026,vector_borne,1
doi:10.1038/s41541-026-01519-4,London School of Hygiene & Tropical Medicine,LSHTM,university,United Kingdom,GBR,Europe,1,2026,vector_borne,0
doi:10.1038/s41541-026-01519-4,Duke-NUS Medical School,Duke-NUS,university,Singapore,SGP,Southeast Asia,1,2026,vector_borne,1
doi:10.1038/s41467-026-75524-5,National University of Singapore,NUS,university,Singapore,SGP,Southeast Asia,16,2026,amr_hai,1
doi:10.1038/s41467-026-75524-5,National University Hospital,NUH,hospital,Singapore,SGP,Southeast Asia,3,2026,amr_hai,1
doi:10.1038/s41467-026-75524-5,Oxford University Clinical Research Unit,OUCRU,research_institute,Viet Nam,VNM,Southeast Asia,1,2026,amr_hai,0
doi:10.1038/s41467-026-75524-5,Genome Institute of Singapore,GIS,research_institute,Singapore,SGP,Southeast Asia,3,2026,amr_hai,1
doi:10.1038/s41467-026-75524-5,National University Health System,NUHS,hospital,Singapore,SGP,Southeast Asia,1,2026,amr_hai,1
doi:10.1038/s41467-026-75524-5,University of Oxford,Oxford,university,United Kingdom,GBR,Europe,1,2026,amr_hai,0
doi:10.1186/s12879-026-13489-y,Changi General Hospital,CGH,hospital,Singapore,SGP,Southeast Asia,2,2026,tb,1
doi:10.1186/s12879-026-13489-y,Duke-NUS Medical School,Duke-NUS,university,Singapore,SGP,Southeast Asia,4,2026,tb,1
doi:10.1186/s12879-026-13489-y,Sengkang General Hospital,SKGH,hospital,Singapore,SGP,Southeast Asia,1,2026,tb,1
doi:10.1186/s12879-026-13489-y,Singapore General Hospital,SGH,hospital,Singapore,SGP,Southeast Asia,3,2026,tb,1
doi:10.1016/j.biomaterials.2026.124421,National University of Singapore,NUS,university,Singapore,SGP,Southeast Asia,2,2026,amr_hai,1
doi:10.1007/s00604-026-08340-9,Nanyang Technological University,NTU,university,Singapore,SGP,Southeast Asia,1,2026,sti,1
doi:10.1186/s12909-026-09775-7,Nanyang Technological University,NTU,university,Singapore,SGP,Southeast Asia,3,2026,vector_borne,1
doi:10.1186/s12909-026-09775-7,National University of Singapore,NUS,university,Singapore,SGP,Southeast Asia,1,2026,vector_borne,1
doi:10.1186/s12909-026-09775-7,University of Hong Kong,HKU,university,China,CHN,East Asia,1,2026,vector_borne,0
doi:10.1186/s13073-026-01655-5,National University of Singapore,NUS,university,Singapore,SGP,Southeast Asia,19,2026,amr_hai,1
doi:10.1186/s13073-026-01655-5,National University Health System,NUHS,hospital,Singapore,SGP,Southeast Asia,5,2026,amr_hai,1
doi:10.1186/s13073-026-01655-5,"Agency for Science, Technology and Research",A*STAR,research_institute,Singapore,SGP,Southeast Asia,8,2026,amr_hai,1
doi:10.1186/s13073-026-01655-5,KK Women's and Children's Hospital,KKH,hospital,Singapore,SGP,Southeast Asia,7,2026,amr_hai,1
doi:10.1186/s13073-026-01655-5,Nanyang Technological University,NTU,university,Singapore,SGP,Southeast Asia,1,2026,amr_hai,1
doi:10.1186/s13073-026-01655-5,National University Hospital,NUH,hospital,Singapore,SGP,Southeast Asia,1,2026,amr_hai,1
doi:10.64898/2026.05.07.723652,A*STAR Infectious Diseases Labs,ID Labs,research_institute,Singapore,SGP,Southeast Asia,4,2026,other_id,1
doi:10.64898/2026.05.07.723652,National University of Singapore,NUS,university,Singapore,SGP,Southeast Asia,1,2026,other_id,1
doi:10.64898/2026.05.07.723652,Nanyang Technological University,NTU,university,Singapore,SGP,Southeast Asia,1,2026,other_id,1
doi:10.1038/s41467-026-76156-5,Singapore Immunology Network,SIgN,research_institute,Singapore,SGP,Southeast Asia,1,2026,rti,1
doi:10.1038/s41467-026-74526-7,"Agency for Science, Technology and Research",A*STAR,research_institute,Singapore,SGP,Southeast Asia,7,2026,rti,1
doi:10.1038/s41467-026-74526-7,Bioinformatics Institute,BII,research_institute,Singapore,SGP,Southeast Asia,1,2026,rti,1
doi:10.1038/s41467-026-74526-7,National University of Singapore,NUS,university,Singapore,SGP,Southeast Asia,1,2026,rti,1
doi:10.1038/s41467-026-74526-7,Nanyang Technological University,NTU,university,Singapore,SGP,Southeast Asia,1,2026,rti,1
